"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
":4","Commentary on James","Comentario sobre Santiago","","False","","",""
":8","Convention video","Video de la asamblea","","False",":8","",""
":12","Introduction to God’s Word","Introducción a la Palabra de Dios","","False",":12","",""
":16","Morning Worship","Adoración matutina","","False","","",""
":20","Shepherd (ks)","Pastoreen (ks)","","False","","",""
":24","Our Ministry","Nuestro ministerio","","False","","",""
":28","Original song video","Video musical original","","False",":28","",""
":32","Children's song video","Video de canciones para niños","","False",":32","",""
":36","Qualified","Capacitados","","False","","",""
":40","Addendum","Anexo","","False","","",""
":44","Worldwide Security","Seguridad mundial","","False","","",""
":48","Commentary on the Letter of James","Comentario sobre la Carta de Santiago","","False","","",""
":52","Convention video","Video de la asamblea","","False",":52","",""
":56","Introduction to God’s Word","Introducción a la Palabra de Dios","","False",":56","",""
":60","Morning Worship video","Video de Adoración matutina","","False","","",""
":64","""Shepherd the Flock of God"" (ks)","""Pastoreen el rebaño de Dios"" (ks)","","False","","",""
":68","Organized to Accomplish Our Ministry","Organizados para efectuar nuestro ministerio","","False","","",""
":72","Original song video","Video musical original","","False",":72","",""
":76","Children's song video","Video de canciones para niños","","False",":76","",""
":80","Qualified to Be Ministers","Capacitados para ser ministros","","False","","",""
":84","Addendum to ""Shepherd the Flock of God""","Anexo a ""Pastoreen el rebaño de Dios""","","False","","",""
":88","Worldwide Security Under the “Prince of Peace”","Seguridad mundial bajo el ""Príncipe de Paz""","","False","","",""
":91","How to Use ""Enjoy Life"" in the Ministry","Cómo usar ""Disfrute de la vida"" en el ministerio","","False","","",""
