"source","target"
"Convention Invitation","Convention Invitation"
"Commentary on James","Commentary on James"
"Concordance","Concordance"
"Convention video","Convention video"
"Index","Index"
"Introduction to God’s Word","Introduction to God’s Word"
"JW Broadcasting","JW Broadcasting"
"Morning Worship","Morning Worship"
"Convention music video","Convention music video"
"Shepherd (ks)","Shepherd (ks)"
"Making Music video","Making Music video"
"Our Ministry","Our Ministry"
"Organization","Organization"
"Original song video","Original song video"
"Jehovah's Friend video","Jehovah's Friend video"
"Children's song video","Children's song video"
"Accomplish Your Ministry","Accomplish Your Ministry"
"Qualified","Qualified"
"Shepherd (sfl)","Shepherd (sfl)"
"Addendum","Addendum"
"Bible Study Guidebook","Bible Study Guidebook"
"Worldwide Security","Worldwide Security"
"Invitation to the Regional Convention","Invitation to the Regional Convention"
"Commentary on the Letter of James","Commentary on the Letter of James"
"Comprehensive Concordance of the New World Translation of the Holy Scriptures","Comprehensive Concordance of the New World Translation of the Holy Scriptures"
"Convention video","Convention video"
"Watch Tower Publications Index","Watch Tower Publications Index"
"Introduction to God’s Word","Introduction to God’s Word"
"JW Broadcasting video","JW Broadcasting video"
"Morning Worship video","Morning Worship video"
"Regional Covention music video presentation","Regional Covention music video presentation"
"""Shepherd the Flock of God"" (ks)","""Shepherd the Flock of God"" (ks)"
"Making Music video","Making Music video"
"Organized to Accomplish Our Ministry","Organized to Accomplish Our Ministry"
"Organization for Kingdom-Preaching and Disciple-Making","Organization for Kingdom-Preaching and Disciple-Making"
"Original song video","Original song video"
"Become Jehovah's Friend video","Become Jehovah's Friend video"
"Children's song video","Children's song video"
"Fully Accomplish Your Ministry","Fully Accomplish Your Ministry"
"Qualified to Be Ministers","Qualified to Be Ministers"
"""Shepherd the Flock of God"" (sfl)","""Shepherd the Flock of God"" (sfl)"
"Addendum to ""Shepherd the Flock of God""","Addendum to ""Shepherd the Flock of God"""
"Guide for the Study of God’s Word","Guide for the Study of God’s Word"
"Worldwide Security Under the “Prince of Peace”","Worldwide Security Under the “Prince of Peace”"
"Use ""Enjoy Life""","Use ""Enjoy Life"""
"How to Use ""Enjoy Life"" in the Ministry","How to Use ""Enjoy Life"" in the Ministry"
