"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
":8","Convention video","","","False",":8","",""
":16","Morning Worship","","","False","","",""
":24","Our Ministry","","","False","","",""
":32","Children's song video","","","False",":32","",""
":40","Addendum","","","False","","",""
":48","Commentary on the Letter of James","","","False","","",""
":56","Introduction to God’s Word","","","False",":56","",""
":64","""Shepherd the Flock of God"" (ks)","","","False","","",""
":72","Original song video","","","False",":72","",""
":80","Qualified to Be Ministers","","","False","","",""
":88","Worldwide Security Under the “Prince of Peace”","","","False","","",""
