"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
":2","Convention Invitation","","","False","","",""
":4","Commentary on James","","","False","","",""
":6","Concordance","","","False","","",""
":8","Convention video","","","False",":8","",""
":10","Index","","","False","","",""
":12","Introduction to God’s Word","","","False",":12","",""
":14","JW Broadcasting","","","False","","",""
":16","Morning Worship","","","False","","",""
":18","Convention music video","","","False","","",""
":20","Shepherd (ks)","","","False","","",""
":22","Making Music video","","","False",":22","",""
":24","Our Ministry","","","False","","",""
":26","Organization","","","False","","",""
":28","Original song video","","","False",":28","",""
":30","Jehovah's Friend video","","","False","","",""
":32","Children's song video","","","False",":32","",""
":34","Accomplish Your Ministry","","","False","","",""
":36","Qualified","","","False","","",""
":38","Shepherd (sfl)","","","False","","",""
":40","Addendum","","","False","","",""
":42","Bible Study Guidebook","","","False","","",""
":44","Worldwide Security","","","False","","",""
":46","Invitation to the Regional Convention","","","False","","",""
":48","Commentary on the Letter of James","","","False","","",""
":50","Comprehensive Concordance of the New World Translation of the Holy Scriptures","","","False","","",""
":52","Convention video","","","False",":52","",""
":54","Watch Tower Publications Index","","","False","","",""
":56","Introduction to God’s Word","","","False",":56","",""
":58","JW Broadcasting video","","","False","","",""
":60","Morning Worship video","","","False","","",""
":62","Regional Covention music video presentation","","","False","","",""
":64","""Shepherd the Flock of God"" (ks)","","","False","","",""
":66","Making Music video","","","False",":66","",""
":68","Organized to Accomplish Our Ministry","","","False","","",""
":70","Organization for Kingdom-Preaching and Disciple-Making","","","False","","",""
":72","Original song video","","","False",":72","",""
":74","Become Jehovah's Friend video","","","False","","",""
":76","Children's song video","","","False",":76","",""
":78","Fully Accomplish Your Ministry","","","False","","",""
":80","Qualified to Be Ministers","","","False","","",""
":82","""Shepherd the Flock of God"" (sfl)","","","False","","",""
":84","Addendum to ""Shepherd the Flock of God""","","","False","","",""
":86","Guide for the Study of God’s Word","","","False","","",""
":88","Worldwide Security Under the “Prince of Peace”","","","False","","",""
":90","Use ""Enjoy Life""","","","False","","",""
":91","How to Use ""Enjoy Life"" in the Ministry","","","False","","",""
