"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Bibles","Bibles","","False","1","",""
"","Books","Books","","False","2","",""
"","Brochures","Brochures","","False","4","",""
"","Indexes","Indexes","","False","6","",""
"","Periodicals","Periodicals","","False","7","",""
"","Tracts","Tracts","","False","10","",""
"","Programs","Programs","","False","12","",""
"","Periodicals","Periodicals","","False","13","",""
"","Periodicals","Periodicals","","False","14","",""
"","Other","Other","","False","17","",""
"","Series","Series","","False","22","",""
"","Media","Media","","False","25","",""
"","Periodicals","Periodicals","","False","30","",""
"","Programs","Programs","","False","31","",""
