"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Bibles","Biblias","","False","1","",""
"","Books","Libros","","False","2","",""
"","Brochures","Folletos","","False","4","",""
"","Indexes","Índices","","False","6","",""
"","Periodicals","Periódicos","","False","7","",""
"","Tracts","Tratados","","False","10","",""
"","Programs","Programas","","False","12","",""
"","Periodicals","Periódicos","","False","13","",""
"","Periodicals","Periódicos","","False","14","",""
"","Other","Otros","","False","17","",""
"","Series","Series","","False","22","",""
"","Media","Multimedia","","False","25","",""
"","Periodicals","Periódicos","","False","30","",""
"","Programs","Programas","","False","31","",""
