"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Bibles","Bibbie","","False","1","",""
"","Books","Libri","","False","2","",""
"","Brochures","Opuscoli","","False","4","",""
"","Indexes","Indici","","False","6","",""
"","Periodicals","Periodici","","False","7","",""
"","Tracts","Volantini","","False","10","",""
"","Programs","Programmi","","False","12","",""
"","Periodicals","Periodici","","False","13","",""
"","Periodicals","Periodici","","False","14","",""
"","Other","Altro","","False","17","",""
"","Series","Serie","","False","22","",""
"","Media","Multimedia","","False","25","",""
"","Periodicals","Periodici","","False","30","",""
"","Programs","Programmi","","False","31","",""
