id	event
1	*1 Corinthians* written from Ephesus
2	*1 John* written in Ephesus
3	*1 Peter* written from Babylon
4	*1 Samuel* completed
5	*1 Thessalonians* written from Corinth
6	*1 Timothy* written from Macedonia
7	*1* and *2 Chronicles* completed
8	*1* and *2 Kings* completed
9	*2 Corinthians* written from Macedonia
10	*2 John* written in Ephesus
11	*2 Peter* written from Babylon (?)
12	*2 Samuel* completed
13	*2 Thessalonians* written from Corinth
14	*2 Timothy* written from Rome
15	*3 John* written in Ephesus
16	*Acts* completed in Rome
17	*American Standard Version*
18	*Amos* written
19	*Bay Psalm Book* published in England’s American colonies
20	*Bishops’ Bible* (English) produced
21	*Christian Greek Scriptures* completed
22	*Colossians* written from Rome
23	*Daniel* written
24	*Deuteronomy* written
25	*Douay-Rheims Bible*
26	*Ecclesiastes* written
27	*Ephesians* written from Rome
28	*Esther* written
29	*Exodus* written
30	*Ezekiel* written
31	*Ezra* written
32	*Galatians* written from Corinth or Syrian Antioch
33	*Genesis* written
34	*Geneva Bible* (English) published in Geneva, Switzerland
35	*Geneva Bible* printed in England
36	*Great Bible* (English) produced
37	*Habakkuk* written
38	*Haggai* written
39	*Hebrew Scriptures* completed
40	*Hebrews* written from Rome
41	*Hosea* written
42	*Isaiah* completed
43	*James* written from Jerusalem
44	*Jeremiah* completed
45	*Job* written
46	*Joel* written
47	*John* written in Ephesus
48	*Jonah* written
49	*Joshua* completed
50	*Jude* written from Palestine (?)
51	*Judges* completed
52	*King James Version*
53	*Kojiki* and *Nihon shoki* completed (Shinto)
54	*Lamentations* written
55	*Leviticus* written
56	*Luke* written in Caesarea
57	*Malachi* written
58	*Mark* written in Rome
59	*Matthew* written
60	*Matthew’s Bible* printed in Antwerp, Belgium
61	*Micah* written
62	*Nahum* written
63	*Nehemiah* written
64	*New World Translation of the Christian Greek Scriptures*
65	*New World Translation of the Holy Scriptures*
66	*Numbers* written
67	*Obadiah* written
68	*Philemon* written from Rome
69	*Philippians* written from Rome
70	*Proverbs* compiled
71	*Psalms* completed
72	*Quaker Bible*
73	*Revelation* written on Patmos
74	*Revised Standard Version*
75	*Revised Version*
76	*Romans* written from Corinth
77	*Ruth* written
78	*Septuagint* completed
79	*Song of Solomon* written
80	*Tao Te Ching* completed (Taoism)
81	*The Analects* completed (Confucianism)
82	*The Oresteia* by Aeschylus, the only surviving trilogy of ancient Greek plays, is performed
83	*The Periplus of the Erythrean Sea*, a Graeco-Roman manuscript is written; it describes an established Indian Ocean trade route
84	*Thomson’s Translation*
85	*Three Baskets* completed (Buddhism)
86	*Titus* written from Macedonia (?)
87	*Webster’s Revision*
88	*Young’s Literal Translation*
89	*Zechariah* written
90	*Zephaniah* written
91	400-year affliction begins
92	400-year affliction ends
93	430-year period begins
94	430-year period ends
95	450-year period begins
96	450-year period ends
97	Aaron born
98	Aaron dies at Mount Hor (age 123)
99	Aaronic priesthood installed
100	Abijah (Abijam) starts to rule for 3 years
101	Abimelech, king of Gerar, tries to take Sarah (age 89) for harem
102	Abraham (age 125) attempts to sacrifice Isaac (age 25)
103	Abraham (age 75) crosses Euphrates
104	Abraham born
105	Abraham dies (age 175)
106	Abraham hosts three angels
107	Abraham visits Egypt; Pharoah takes Sarah, returns her; Abraham returns to Canaan
108	Abraham visits Melchizedek
109	Abrahamic covenant takes effect
110	Abram’s name changed to Abraham
111	According to tradition, Martin Luther nails 95 theses to church door at Wittenberg, Germany
112	Achaia includes southern and central Greece
113	Adam created
114	Adam dies (age 930)
115	Adoniram Judson completes Burmese Bible
116	After a two-year rule, Emperor Nerva dies of natural causes, his adopted son Trajan succeeds him
117	Agabus prophesies famine
118	Again rejected by hometown (Nazareth)
119	Ahab dies
120	Ahab starts to rule for 22 years
121	Ahaz dies
122	Ahaz starts to rule for 16 years
123	Ahaziah (grandson of Jehoshaphat) killed by Jehu
124	Ahaziah (grandson of Jehoshaphat; grandson of Ahab through Athaliah) starts to rule for 1 year
125	Ahaziah becomes sole king of Israel for 2 years
126	Ahaziah coregent with father Ahab as king of Israel
127	Albigensian Crusade
128	Alexander becomes king of Macedonia
129	Alexander conquers Egypt
130	Alexander conquers Gaza
131	Alexander defeats Persians at Granicus
132	Alexander defeats Persians at Issus
133	Alexander enters Babylon
134	Alexander enters Jerusalem
135	Alexander founds Alexandria
136	Alexander invades Persia
137	Alexander overthrows island-city of Tyre
138	Alexander the Great born
139	Alexander the Great defeats Indian king Porus in the Battle of the Hydaspes River
140	Alexander the Great dies (age 32)
141	Alexander’s generals in power
142	Alphabetic writing emerges
143	Amanirenas, the *kandake* (Queen) of the Kingdom of Kush, leads Kushite armies against the Romans
144	Amaziah starts to rule for 29 years
145	American colonies of Britain revolt, leading to establishment of United States of America
146	Amon starts to rule for 2 years
147	Amorite kingdom conquered by Israel
148	An alliance between the Babylonians, Medes, and Scythians succeeds in destroying Nineveh and causing subsequent fall of the Assyrian empire
149	Annas becomes high priest
150	Annas ends term as high priest
151	Antiochus Epiphanes begins to rule
152	Antiochus Epiphanes invades Jerusalem
153	Apostles return from preaching tour; Jesus feeds 5,000 men (Galilee)
154	Approximate date for the composition of the *Iliad* and the *Odyssey*
155	Ark comes to rest in Ararat
156	Ark of covenant removed from temple
157	Ark of the covenant inaugurated with tabernacle and priesthood
158	Ark of the covenant made
159	Ark of the covenant moved into temple
160	Arpachshad born
161	Arrives in Bethany
162	Artaxerxes (Smerdis [Bardiya or Gaumata]) usurps Persian throne
163	Artaxerxes Longimanus ascends throne
164	Artaxerxes Longimanus sends Nehemiah to rebuild Jerusalem and walls
165	Artaxerxes Longimanus’ first regnal year
166	Artaxerxes Longimanus’ reign ends
167	Artaxerxes II (Mnemon) becomes king
168	Artaxerxes III (Ochus) becomes king
169	Asa defeats Ethiopians
170	Asa holds assembly in Jerusalem to make covenant
171	Asa starts to rule for 41 years
172	Asa’s first regnal year
173	Ascends to heaven
174	Assyria becomes a world power
175	Assyria conquers Samaria
176	Astrologers visit Herod, Jesus
177	At Passover festival, Jesus heals man at pool of Bethzatha
178	At Passover festival, performs signs
179	Athenian democracy instituted at Athens
180	Athenians and Spartans triumph against Persians at Plataea
181	Athenians repel Persians at Battle of Marathon
182	Attends Festival of Booths (Jerusalem)
183	Attends Festival of Dedication (Jerusalem)
184	Baasha starts to rule for 24 years
185	Babylon becomes a world power
186	Babylon falls to the Medes and Persians
187	Balaam attempts to curse Israel
188	Ban on temple construction
189	Barnabas and Mark preach in Cyprus
190	Barnabas brings Paul to Antioch
191	Baruch reads scroll in temple courtyard
